beat_id,is_complete_beat,beat_quality_reason,psv_local,psv_global,psv_value_px,next_psv_local,next_psv_global,first_valley_local,first_valley_global,first_valley_value_px,secondary_peak_local,secondary_peak_global,secondary_peak_value_px,cycle_length_px,time_to_valley_px,time_to_secondary_peak_px,valley_to_psv_ratio,secondary_to_psv_ratio,ri_proxy,recording_name,site,repeat_id,audio_anchor_index,audio_beat_time_s,video_frame_idx,video_frame_time_s,smoke_test_position,early_sweep_marker_time_risk,audio_possible_clipping,extraction_direction,cm_s_per_px,psv_value_cm_s,secondary_peak_value_cm_s,row_index,candidate_id,analysis_start_s,analysis_end_s,analysis_duration_s,segment_iou,calibration_group,baseline_y_global_px,baseline_y_roi_px,first_valley_value_cm_s,feature_layer
2,True,ok,253,263,131.755802549851,412,422,297,307,10.95292579274252,314.0,324.0,22.70513239620758,159,44,61.0,0.08313050037092962,0.17232738108529896,0.9168694996290704,candidate_test_02_brachial,brachial,1,12,12.48,374,12.466666666666667,,False,False,below,0.17543409679653227,23.114460218035354,3.9832543945743613,46,2,0.736,52.0,51.264,0.9696358317361042,standard_20cm_s_scale,375.0,145.0,1.9215166437292261,complete_morphology_candidate
2,True,ok,250,260,124.92317750898809,410,420,295,305,11.865506156695886,311.0,321.0,22.261523373651197,160,45,61.0,0.09498242354459945,0.17820170618098075,0.9050175764554006,candidate_test_02_brachial,brachial,1,20,20.208,606,20.2,,False,False,below,0.17543409679653227,21.915784815242198,3.90543024637139,54,2,0.736,52.0,51.264,0.9696358317361042,standard_20cm_s_scale,375.0,145.0,2.0816143556336355,complete_morphology_candidate
1,True,ok,83,93,125.4383785550816,243,253,128,138,11.862564018742308,144.0,154.0,22.05165086629585,160,45,61.0,0.09456885648066078,0.17579668296344161,0.9054311435193393,candidate_test_02_brachial,brachial,1,21,21.184,636,21.2,,False,False,below,0.17543409679653227,22.006168645432243,3.868611452601081,55,2,0.736,52.0,51.264,0.9696358317361042,standard_20cm_s_scale,375.0,145.0,2.081098204319099,complete_morphology_candidate
1,True,ok,87,97,104.12389669826598,245,255,134,144,10.079800951654343,150.0,160.0,24.097417456684827,158,47,63.0,0.09680583680866225,0.23143023091534118,0.9031941631913377,candidate_test_02_brachial,brachial,1,44,43.25333333333333,1298,43.266666666666666,,False,False,below,0.17543409679653227,18.26688177219572,4.227508666642493,78,2,0.736,52.0,51.264,0.9696358317361042,standard_20cm_s_scale,375.0,145.0,1.7683407758423062,complete_morphology_candidate
2,True,ok,206,216,108.87937234390166,386,396,239,249,13.112055501071291,252.0,262.0,34.51244052159336,180,33,46.0,0.12042736120535413,0.3169786873181438,0.8795726387946459,candidate_test_03_brachial,brachial,1,7,8.133333333333333,244,8.133333333333333,,False,False,above,0.17543409679653227,19.101154346925725,6.054658831149773,95,3,0.6506666666666666,46.986666666666665,46.336,0.9858723404255318,standard_20cm_s_scale,375.0,145.0,2.300301613976444,complete_morphology_candidate
1,True,ok,23,33,108.95423340960942,203,213,56,66,13.112055501071291,69.0,79.0,34.51244052159336,180,33,46.0,0.12034461709970463,0.31676089530037,0.8796553829002953,candidate_test_03_brachial,brachial,1,8,9.248,277,9.233333333333333,,False,False,above,0.17543409679653227,19.11428753037339,6.054658831149773,96,3,0.6506666666666666,46.986666666666665,46.336,0.9858723404255318,standard_20cm_s_scale,375.0,145.0,2.300301613976444,complete_morphology_candidate
2,True,ok,193,203,93.44132069303564,381,391,228,238,11.64045984526512,242.0,252.0,29.665304565761804,188,35,49.0,0.12457507833718692,0.31747522772302617,0.875424921662813,candidate_test_03_brachial,brachial,1,22,24.986666666666668,750,25.0,,False,False,above,0.17543409679653227,16.392793699257826,5.204305912688467,110,3,0.6506666666666666,46.986666666666665,46.336,0.9858723404255318,standard_20cm_s_scale,375.0,145.0,2.042133559250388,complete_morphology_candidate
1,True,ok,9,19,93.6222175993342,198,208,45,55,11.64045984526512,59.0,69.0,29.665304565761804,189,36,50.0,0.12433437429437584,0.31686180189319474,0.8756656257056242,candidate_test_03_brachial,brachial,1,23,26.112,783,26.1,,False,False,above,0.17543409679653227,16.424529184627605,5.204305912688467,111,3,0.6506666666666666,46.986666666666665,46.336,0.9858723404255318,standard_20cm_s_scale,375.0,145.0,2.042133559250388,complete_morphology_candidate
2,True,ok,305,315,102.65642366786375,486,496,326,336,37.07845701209486,351.0,361.0,59.99084668192124,181,21,46.0,0.3611898377841322,0.5843847324743807,0.6388101622158677,candidate_test_04_brachial_1,brachial,1,6,4.341333333333333,130,4.333333333333333,,False,False,above,0.17543409679653227,18.009436966533833,10.524440003702098,137,4,0.4213333333333333,32.96,32.538666666666664,0.9713034825870646,standard_20cm_s_scale,375.0,145.0,6.50482561652591,complete_morphology_candidate
2,True,ok,302,312,100.58221641059025,482,492,324,334,38.209218698920616,358.0,368.0,58.30728996403963,180,22,56.0,0.3798804606069268,0.5796978038942925,0.6201195393930732,candidate_test_04_brachial_1,brachial,1,7,4.8853333333333335,147,4.9,,False,False,above,0.17543409679653227,17.645550289785245,10.229086751494803,138,4,0.4213333333333333,32.96,32.538666666666664,0.9713034825870646,standard_20cm_s_scale,375.0,145.0,6.70319977174631,complete_morphology_candidate
