recording_name,audio_beat_id,audio_beat_time_s,frame_time_s,frame_index,frame_path,extraction_ok,n_peaks,n_candidate_beats,baseline,direction,error
candidate_long_quality_test,5,4.010666666666666,4.0,120,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0005_t4.011s_frame_000120.png,True,4,3,146,above,
candidate_long_quality_test,6,4.848,4.833333333333333,145,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0006_t4.848s_frame_000145.png,True,4,3,146,above,
candidate_long_quality_test,7,5.669333333333333,5.666666666666667,170,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0007_t5.669s_frame_000170.png,True,4,3,146,above,
candidate_long_quality_test,8,6.501333333333333,6.5,195,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0008_t6.501s_frame_000195.png,True,4,3,146,above,
candidate_long_quality_test,9,7.386666666666667,7.4,222,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0009_t7.387s_frame_000222.png,True,4,3,146,above,
candidate_long_quality_test,10,8.256,8.266666666666667,248,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0010_t8.256s_frame_000248.png,True,4,3,146,above,
candidate_long_quality_test,11,9.104,9.1,273,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0011_t9.104s_frame_000273.png,True,3,2,146,above,
candidate_long_quality_test,12,9.962666666666667,9.966666666666667,299,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0012_t9.963s_frame_000299.png,True,3,2,146,above,
candidate_long_quality_test,13,10.832,10.833333333333334,325,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0013_t10.832s_frame_000325.png,True,3,2,146,above,
candidate_long_quality_test,14,11.653333333333334,11.666666666666666,350,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0014_t11.653s_frame_000350.png,True,4,3,146,above,
candidate_long_quality_test,15,12.490666666666666,12.5,375,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0015_t12.491s_frame_000375.png,True,4,3,146,above,
candidate_long_quality_test,16,13.349333333333334,13.333333333333334,400,D:\code\DopplerLab\beat_frames\candidate_long_quality_test\candidate_long_quality_test_beat_0016_t13.349s_frame_000400.png,True,4,3,146,above,
